county_fips,cdd_annual,hdd_annual
21031,1643,3351
21033,1667,3353
21035,1785,3335
21037,1403,3949
21039,1854,3164
21041,1467,3770
21043,1216,3898
21045,1320,3791
21047,1731,3212
21049,1367,3772
21051,1266,3682
21053,1415,3501
21055,1610,3481
21057,1544,3381
21059,1479,3650
21061,1611,3401
21063,1167,3884
21065,1377,3678
21067,1423,3763
21069,1140,4044
21071,1260,3676
21073,1463,3725
21075,1874,3105
21077,1496,3796
21079,1408,3723
21081,1390,3914
21083,1820,3230
21085,1457,3615
21087,1533,3533
21089,1290,3894
21091,1312,3855
21093,1420,3687
21095,922,4085
21097,1317,3966
21099,1531,3515
21101,1635,3571
21103,1387,3850
21105,1854,3153
21107,1677,3345
21109,1213,3841
21111,1503,3692
21113,1480,3681
21115,1208,3776
21117,1385,3987
21119,1156,3792
21121,1217,3682
21123,1444,3637
21125,1242,3745
21127,1294,3735
21129,1357,3646
21131,1184,3762
21133,980,3997
21135,1121,4110
21137,1293,3837
21139,1671,3357
21141,1625,3328
21143,1728,3295
21145,1820,3205
21147,1180,3779
21149,1607,3445
21151,1421,3708
21153,1219,3764
21155,1462,3659
21157,1813,3270
21159,1281,3704
21161,1113,4206
21163,1334,3844
21165,1191,3843
21167,1479,3671
21169,1477,3549
21171,1517,3445
21173,1286,3849
21175,1185,3828
21177,1632,3324
21179,1495,3620
21181,1232,4004
21183,1510,3529
21185,1330,3940
21187,1427,3813
21189,1348,3635
21191,1343,3967
21193,1242,3720
21195,1223,3712
21197,1327,3726
21199,1298,3728
21201,1211,4087
21203,1244,3845
21205,1103,3966
21207,1423,3600
21209,1393,3827
21211,1365,3861
21213,1625,3349
21215,1446,3719
21217,1457,3650
21219,1678,3261
21221,1747,3235
21223,1368,3886
21225,1635,3605
21227,1713,3278
21229,1468,3664
21231,1331,3650
21233,1638,3487
21235,1185,3721
21237,1261,3744
21239,1492,3668
22001,3257,1192
22003,3098,1238
22005,3304,1194
22007,3293,1161
22009,2854,1477
