zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
27310,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28001,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27012,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27358,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28127,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28682,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28031,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28689,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27028,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28660,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28080,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27046,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28214,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28092,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27357,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27284,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28216,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27043,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27239,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28125,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27052,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28036,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28699,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27498,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27351,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28035,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27111,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28123,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28688,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27285,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27373,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27374,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28010,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27293,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
88213,22690,Roosevelt County Elec Coop Inc,NM,Bundled,Cooperative,0.16274118429807052,0.12240549979134178,0.12067558746736293
88125,22690,Roosevelt County Elec Coop Inc,NM,Bundled,Cooperative,0.16274118429807052,0.12240549979134178,0.12067558746736293
88118,22690,Roosevelt County Elec Coop Inc,NM,Bundled,Cooperative,0.16274118429807052,0.12240549979134178,0.12067558746736293
88201,22690,Roosevelt County Elec Coop Inc,NM,Bundled,Cooperative,0.16274118429807052,0.12240549979134178,0.12067558746736293
88123,22690,Roosevelt County Elec Coop Inc,NM,Bundled,Cooperative,0.16274118429807052,0.12240549979134178,0.12067558746736293
